File,Club,Pitch,Code,Latitude,Longitude,Province,Country,Division,County,Directions,Twitter,Elevation,annual_rainfall,rain_days,crest_url
Ireland,Abbey Sarsfields,Bishop's Fields,,52.683227,-8.616133,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.683227,-8.616133",https://twitter.com/abbeysarsfields,17,1166.5,263,https://www.oneills.com/media/catalog/category/Sarsfields-Belfast.png
Ireland,Abbeydorney,,,52.348735,-9.691046,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.348735,-9.691046",https://twitter.com/odorneygaa,9,1410.3,281,
Ireland,Abbeyknockmoy Hurling,,Hurling,53.43808,-8.727463,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.43808,-8.727463",https://twitter.com/Abbey_Hurling,56,1153.6,274,https://www.oneills.com/media/catalog/category/Abbeyknockmoy-Camogie-Club-ICON.png
Ireland,Abbeylara,Oliver Lynch Park,Football,53.758594,-7.458023,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.758594,-7.458023",,88,957.2,273,https://www.oneills.com/media/catalog/category/abbeylara-gfc.png
Ireland,Abbeyside / Ballinacourty,,,52.103529,-7.598938,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.103529,-7.598938",https://twitter.com/abbeycourtygaa,8,1395.9,257,https://www.oneills.com/media/catalog/category/Abbeyside-BallinacourtSSIconBanner2024.png
Middle East,Abu Dhabi na Fianna,Zayed's Sport City,,24.416016,54.4543442,Abu Dhabi,UAE,Abu Dhabi,UAE,"https://maps.google.com/?daddr=24.416016,54.4543442",https://twitter.com/adnafianna,7,90.34752747,25,https://www.oneills.com/media/catalog/category/Na-Fianna-CLG-Icon.png
Ireland,Achill GAA,Davitt Park,,53.93313,-9.9165,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.93313,-9.9165",https://twitter.com/clgacla,6,1853.4,311,https://www.oneills.com/media/catalog/category/ACHILL-GAA-THUMBNAIL-IMAGE.png
Ireland,Adare,,,52.564104,-8.807037,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.564104,-8.807037",https://twitter.com/adaregaa,12,1030.8,252,https://www.oneills.com/media/catalog/category/ADARE-LGFC-ICON.png
Ireland,Adrigole,,,51.684475,-9.712323,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.684475,-9.712323",https://twitter.com/adrigolegaa,23,1811.6,280,
Ireland,Aghabog Emmets ,PÃ¡irc Emmet,,54.17118,-7.04587,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.17118,-7.04587",https://twitter.com/aghaboggfc,148,932.8,256,https://www.oneills.com/media/catalog/category/Carnew-EmmetsIconBanner2022.png
Ireland,Aghabullogue,Coachford,,51.906736,-8.786975,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.906736,-8.786975",https://twitter.com/aghabulloguegaa,60,1278.1,246,https://www.oneills.com/media/catalog/category/aghabullogue-gaa.png
Ireland,Aghada,PÃ¡irc Liam Ui Riain,,51.847754,-8.193244,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.847754,-8.193244",https://twitter.com/aghadagaa,6,1248.3,249,https://www.oneills.com/media/catalog/category/aghadaIconBanner2025.png
Ireland,Aghaderg-Ballyvarley GAA,Pearse Park,,54.34497,-6.326956,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.34497,-6.326956",https://twitter.com/aghaderg_bv,90,931.5521978,282,https://www.oneills.com/media/catalog/category/AGHADERG-BALLYVARLEY.png
