CSV_Club_Name,CSV_Location,CSV_Latitude,CSV_Longitude,Existing_Club_Name,Existing_Location,Match_Reason
"Anjou Gaels","France","47.475502","-0.5960351","Anjou Gaels","Angers, France","Exact name match"
"Azur Gaels","France","43.6196508","7.0435807","Azur Gaels","Azur, France","Exact name match"
"Barcelona Gaels","Spain","41.3663429","2.1467811","Barcelona Gaels","Barcelona, Spain","Exact name match"
"Basel GAA","Switzerland","47.5446395","7.5790895","Basel GAA","Basel, Switzerland","Exact name match"
"Berlin GAA","Germany","52.5465461","13.2754141","Berlin GAA","Berlin, Germany","Exact name match"
"Clermont Gaels","France","45.8081524","3.1106646","Clermont Gaels","Clermont, France","Exact name match"
"Copenhagen GAA","Denmark","55.646544","12.5655188","Copenhagen GAA","Copenhagen, Denmark","Exact name match"
"Costa Gaels, Marbella","Spain","36.5065985","-4.8346335","Costa Gaels Marbella","Marbella, Spain","Fuzzy match (95% similar)"
"Croatian Celts","Croatia","45.770528","15.9947365","Croatian Celts","Zagreb, Croatia","Exact name match"
"Cumann Warszawa Gaa","Poland","52.2863505","20.9557396","Cumann Warszawa GAA","Warsaw, Poland","Exact name match"
"Darmstadt GAA","Germany","49.8598987","8.6686482","Darmstadt GAA","Darmstadt, Germany","Exact name match"
"Earls of Leuven","Belgium","50.8699082","4.69204066","Earls of Leuven","Leuven, Belgium","Exact name match"
"Eindhoven Shamrocks GAA","Netherlands","51.4740776","5.448669","Eindhoven Shamrocks","Eindhoven, The Netherlands","Normalized name + same county"
"Gaelic Football Club d'Arthon","France","46.6927037","1.7054691","Gaelic Football Club d'Arthon","Arthon, France","Exact name match"
"Gibraltar Gaels","Spain","36.1103382","-5.34712897","Gibraltar Gaels","Gibraltar, Gibraltar","Exact name match"
"Groningen Gaels","Netherlands","53.2405628","6.5563739","Groningen Gaels","Groningen, The Netherlands","Exact name match"
"Guernsey Gaels GAA","Channel Islands","49.44281","-2.5854554","Guernsey Gaels","Guernsey, France","Normalized name + same division"
"Hamburg GAA","Germany","53.5928739","10.0178145","Hamburg GAA","Hamburg, Germany","Exact name match"
"Jersey Irish","Channel Islands","49.1998198","-2.0882212","Jersey Irish","Jersey, France","Exact name match"
"Jersey Irish","Channel Islands","49.1942291","-2.2044466","Jersey Irish","Jersey, France","Exact name match"
"Keltoi Vigo","Spain","42.2549552","-8.6938547","Keltoi Vigo","Vigo, Spain","Exact name match"
"Lorient GAC","France","47.7481556","-3.3705679","Lorient GAC","Lorient, France","Exact name match"
"Maastricht Gaels","Netherlands","50.8599324","5.6519605","Maastricht Gaels","Maastricht, The Netherlands","Exact name match"
"Madrid Harps GAA","Spain","40.375671","-3.71257752","Madrid Harps","Madrid, Spain","Normalized name + same county"
"Madrid Harps GAA","Spain","40.457891","-3.6200722","Madrid Harps","Madrid, Spain","Normalized name + same county"
"Moscow Shamrocks","Russia","55.804743","37.74289325","Moscow Shamrocks","Moscow, Russia","Exact name match"
"Niort Gaels","France","46.32497","-0.431583","Niort Gaels","Niort, France","Exact name match"
"Paris Gaels","France","48.8355097","2.4412179","Paris Gaels","Paris, France","Exact name match"
"Paris Gaels","France","48.8589482","2.4123574","Paris Gaels","Paris, France","Exact name match"
"Paris Gaels","France","48.9171329","2.404772","Paris Gaels","Paris, France","Exact name match"
"Setanta Berlin GAA","Germany","52.4895","13.39941","Setanta Berlin ","Berlin, Germany","Normalized name + same county"
"Slovak Shamrocks GAA","Slovenia","48.1492474","17.0618739","Slovak Shamrocks","Bratislava, Slovakia","Normalized name + same division"
"Stockholm Gaels","Sweden","59.2679046","18.1219528","Stockholm Gaels","Stockholm, Sweden","Exact name match"
"Zaragoza GAA","Spain","41.664804","-0.8773262","Zaragoza GAA","Zaragoza, Spain","Exact name match"
