Club Name,Region,Sub-region,Map,City,Country,Facebook,Instagram,Website,Codes,,,,,
Moscow Shamrocks ,Central-East,,,Moscow,Russia,,,,,,,,,
Bydgoszcz CLG,Central-East,,,Bydgoszcz,,,,,Men's Football,,,,,
Guernsey Gaels ,North-West,,,Guernsey ,France,,,,,,,,,
Liverieg (Liffre) ,North-West,Brittany,,Liffré,France,,,,,,,,,
Luleå Gaels ,Nordics,,,Luleá,Sweden,,,,,,,,,
Montpellier GAA,North-West,South-East,,Montpellier,France,,,,,,,,,
Hurling Club Stuttgart ,Central-East,,,Stuttgart,Germany,,,,,,,,,
Sant Vicent Valencia,Iberia,Central East,,Valencia,Spain,,,,,,,,,
Gaelic Football Club d'Arthon ,North-West,Mid-West,,Arthon,France,,,,,,,,,
Seamus Heaneys GAC,Central-East,,,Moscow,Russia,,,,,,,,,
Madrid Harps,Iberia,Central East,,Madrid,Spain,,,,,,,,,
Rennes (Ar Gwazi Gouez) ,North-West,Brittany,,Rennes,France,,,,,,,,,
Malmo GAA ,Nordics,,,Malmö,Sweden,,,,,,,,,
Den Haag GAA ,Benelux,,,The Hague,The Netherlands,,,,,,,,,
Lorient GAC ,North-West,Brittany,,Lorient,France,,,,,,,,,
EC Brussels ,Benelux,,,Brussels,Belgium,,,,,,,,,
NIjmegen GFC,Benelux,,,Nijmegen,The Netherlands,,,,,,,,,
Football Gaélique Mondeville  ,North-West,Mid-West,,Mondeville,France,,,,,,,,,
Rómhánaigh Augsburg Óg ,Central-East,,,Augsburg ,Germany,,,,,,,,,
Eire Og Sevilla,Iberia,Andalucia,,Seville,Spain,,,,,,,,,
Oslo GAA,Nordics,,,Oslo,Norway,,,,,,,,,
Berlin GAA ,Central-East,,,Berlin,Germany,,,,"Men's Football,  Hurling,  LGFA",,,,,
Kerne (Quimper) ,North-West,Brittany,,Kerné,France,,,,,,,,,
Dún na Eesti ,Nordics,,,Talinn,Estonia,,,,,,,,,
Gävle GAA ,Nordics,,,"Gävle,",Sweden,,,,,,,,,
Eindhoven Shamrocks ,Benelux,,,Eindhoven,The Netherlands,,,,,,,,,
Vannes (Gwened Vannes),North-West,Brittany,,Vannes,France,,,,,,,,,
Zurich Inneoin,Central-East,,,Zürich,Switzerland,,,,,,,,,
Paris Gaels ,North-West,,,Paris,France,,,,,,,,,
Auriense Gaelic ,Iberia,Galicia,,Ourense,Spain,,,,"Men's Football,  LGFA",,,,,
Football gaélique Strasbourg ,North-West,,,Strasbourg ,France,,,,,,,,,
Football Gaelique Nantes (Naoned),North-West,Brittany,,Nantes ,France,,,,,,,,,
LX Celtiberos GAA Club,Iberia,Andalucia,,Lisbon ,Portugal,,,,,,,,,
Hamburg GAA ,Benelux,,,Hamburg,Germany,,,,,,,,,
Mecos do Grobe ,Iberia,Galicia,,,,,,,,,,,,
Football gaélique Le Havre ,North-West,Mid-West,,Le Havre ,France,,,,,,,,,
Amsterdam GAA,Benelux,,,Amsterdam ,The Netherlands,,,,"Men's Football,  LGFA,  Hurling,  Camogie,  Dad's & Lads,  Mothers & Others,  Handball,  Youth",,,,,
Tolosa Gaels  ,North-West,South-West,,Toulouse ,France,,,,,,,,,
Lyon (Ludugnum) ,North-West,South-East,,Lyon,France,,,,,,,,,
Independiente FC,Iberia,Galicia,,Vigo ,Spain,,,,,,,,,
Luxembourg  ,Benelux,,,Luxembourg ,Luxembourg,,,,,,,,,
Poitiers Gaels  ,North-West,South-West,,Poitiers ,France,,,,,,,,,
Reykjavík GAA  ,Nordics,,,Reykjavik,Iceland,,,,,,,,,
St Brieuc (Bro St. Brieg) ,North-West,,,Saint-Brieuc,France,,,,,,,,,
Groningen Gaels ,Benelux,,,Groningen,The Netherlands,,,,,,,,,
Barcelona Gaels  ,Iberia,Central East,,Barcelona,Spain,,,,"Men's Football,  LGFA",,,,,
Gibraltar Gaels ,Iberia,Andalucia,,Gibraltar,Gibraltar,,,,,,,,,
Gwen Rann (Guerande) ,North-West,Brittany,,Guérande,France,,,,,,,,,
Slovak Shamrocks ,Central-East,Brittany,,Bratislava,Slovakia,,,,,,,,,
Oulu Irish Elks GAA,Nordics,,,Oulu,Finland,,,,,,,,,
Midland GAC ,Central-East,,,Solothurn ,Switzerland,,,,,,,,,
Jersey Irish,North-West,,,Jersey ,France,,,,,,,,,
Rome HIbernia GAA,Central-East,,,Rome,Italy,,,,,,,,,
Fillos of Breogan ,Iberia,Galicia,,A Coruna,Spain,,,,,,,,,
Píobairí Strakonice ,Central-East,,,Strakonice,Czech Republic,,,,,,,,,
Niort Gaels ,North-West,South-West,,Niort,France,,,,,,,,,
Irmamdinhos da Estrada,Iberia,,,A Estrada ,Spain,,,,,,,,,
Dresden Hurling,Central-East,,,Dresden ,Germany,,,,,,,,,
Lille FG ,North-West,,,Lille,France,,,,,,,,,
Le Mans ,North-West,Mid-West,,Le Mans ,France,,,,,,,,,
Maastricht Gaels ,Benelux,,,Maastricht,The Netherlands,,,,,,,,,
Costa Gaels Marbella ,Iberia,Andalucia,,Marbella ,Spain,,,,,,,,,
Anjou Gaels ,North-West,Mid-West,,Angers,France,,,,"Men's Football,  LGFA",,,,,
Estrela Vermehla ,Iberia,Galicia,,Santiago de Compostella ,Spain,,,,,,,,,
Herdeiros de Dhais ,Iberia,Galicia,,Lalín,Spain,,,,,,,,,
Azur Gaels,North-West,South-East,,Azur,France,,,,"Men's Football,  LGFA",,,,,
Madrid Harps - Youth,Iberia,Central East,,Madrid,Spain,,,,,,,,,
Sant'Ambrogio Milano GAC,Central-East,,,Milano ,Italy,,,,,,,,,
Celtic Tres Cantos ,Iberia,Galicia,,,,,,,,,,,,
Budapest Gaels ,Central-East,,,Budapest ,Hungary,,,,Men's Football,,,,,
St Patrick's Gasteiz,Iberia,Central East,,Vitoria-Gasteiz,Spain,,,,,,,,,
Salzburg GAA,Central-East,,,Salzburg ,Austria,,,,,,,,,
Munich Colmcilles ,Central-East,,,Munich,Germany,,,,,,,,,
Bordeaux Gaelic Football Club,North-West,South-West,,Bordeaux,France,,,,Men's Football,,,,,
Zaragoza GAA ,Iberia,Andalucia,,Zaragoza,Spain,,,,,,,,,
Gothenburg GAA ,Nordics,,,Gothenburg ,Sweden,,,,,,,,,
Darmstadt GAA,Benelux,,,Darmstadt ,Germany,,,,,,,,,
Clermont Gaels ,North-West,South-East,,Clermont,France,,,,,,,,,
Brest (Bro Leon) ,North-West,Brittany,,Brest ,France,,,,Men's Football,,,,,
Frankfurt Sarsfields ,Benelux,,,Frankfurt,Germany,,,,,,,,,
Basel GAA ,Central-East,,,Basel ,Switzerland,,,,"Men's Football,  LGFA,  Hurling",,,,,
Keltoi Vigo,Iberia,Galicia,,Vigo ,Spain,,,,,,,,,
Croatian Celts ,Central-East,,,Zagreb,Croatia,,,,,,,,,
Dusseldorf GFC ,Benelux,,,Dusseldorf ,Germany,,,,,,,,,
Celta Málaga ,Iberia,Andalucia,,Malaga,Spain,,,,,,,,,
Gaelicos do Gran Sol ,Iberia,Galicia,,Barcelona ,Spain,,,,,,,,,
Sitges Eagles,Iberia,Central East,,Sitges,Spain,,,,,,,,,
Dorna ,Iberia,Galicia,,Pontevedra ,Spain,,,,,,,,,
Prague Hibernians ,Central-East,,,Prague,Czech Republic,,,,,,,,,
Hilllerood Wolfe Tones ,Nordics,,,Hillerød,Denmark,,,,,,,,,
Setanta Berlin Gaelic Club,Central-East,,,Berlin,Germany,,,,,,,,,
Turonia Gondomar Fútbol Gaélico ,Iberia,Central East,,Gondomar,Spain,,,,,,,,,
Vienna Gaels GAA,Central-East,,,Vienna,Austria,,,,,,,,,
Golélands Gaëlics S. Coulomb,North-West,Brittany,,Saint-Coulomb,France,,,,,,,,,
Belgium GAA ,Benelux,,,Brussels,Belgium,,,,"Men's Football,  LGFA,  Hurling,  Camogie",,,,,
Earls of Leuven ,Benelux,,,Leuven,Belgium,,,,,,,,,
Bilbao GAA ,Iberia,Central East,,Bilbao ,Spain,,,,Men's Football,,,,,
Cumann Warszawa GAA ,Central-East,,,Warsaw,Poland,,,,,,,,,
Stockholm Gaels,Nordics,,,Stockholm,Sweden,,,,,,,,,
Tampere Hammers,Nordics,,,Tampere,Finalnd,,,,,,,,,
Cologne Celtics ,Benelux,,,Cologne,Germany,,,,,,,,,
Cambados Gaelico ,Iberia,Galicia,,Cambados,Spain,,,,,,,,,
Copenhagen GAA ,Nordics,,,Copenhagen ,Denmark,,,,,,,,,
